sample,sample.day,sample.mo,sample.yr,sample.date,stream,reach,meter,wet.width.cm,Depth.1.cm,Depth.2.cm,Depth.3.cm
wetted.width,8,9,2020,2020-09-08,TOWR,1,11.6,126,1.5,1,0.5
wetted.width,8,9,2020,2020-09-08,TOWR,2,16.7,59,1,1,1.5
wetted.width,8,9,2020,2020-09-08,TOWR,3,33.3,132,0.5,1,1.5
wetted.width,8,9,2020,2020-09-08,TOWR,4,47.6,32,0.5,0.5,0.5
wetted.width,8,9,2020,2020-09-08,TOWR,5,58.6,100,2,1.5,2.66
wetted.width,8,9,2020,2020-09-08,TOWR,6,80.3,252,0.5,1,1.5
wetted.width,8,9,2020,2020-09-08,TOWR,7,95.4,46,0.5,2,2
wetted.width,8,9,2020,2020-09-08,TOWR,8,99.7,137,0.5,2,1
wetted.width,8,9,2020,2020-09-08,TOWR,9,117.6,45,3.5,2,2.5
wetted.width,8,9,2020,2020-09-08,TOWR,10,133.8,141,1,2,1.5
wetted.width,6,10,2020,2020-10-06,WS55,1,1.6,30,1,0.8,3.1
wetted.width,6,10,2020,2020-10-06,WS55,2,16.5,168,1,1,1
wetted.width,6,10,2020,2020-10-06,WS55,3,37.5,134,0.5,0.3,0.2
wetted.width,6,10,2020,2020-10-06,WS55,4,48.9,136,1,1,1.5
wetted.width,6,10,2020,2020-10-06,WS55,5,78.7,163,1.5,1,0.5
wetted.width,6,10,2020,2020-10-06,WS55,6,87.7,277,1,0.2,0.3
wetted.width,6,10,2020,2020-10-06,WS55,7,99.3,238,1.5,1.5,1
wetted.width,6,10,2020,2020-10-06,WS55,8,117.7,83,1.5,3.5,2.5
wetted.width,6,10,2020,2020-10-06,WS55,9,124.2,100,1.5,3,1.2
wetted.width,6,10,2020,2020-10-06,WS55,10,133.2,25,2.5,0.5,1
wetted.width,6,10,2020,2020-10-06,TOWR,1,10.6,146,1,0.5,0.5
wetted.width,6,10,2020,2020-10-06,TOWR,2,22.7,159,4,2,2.5
wetted.width,6,10,2020,2020-10-06,TOWR,3,35.3,111,3.5,2.5,1.8
wetted.width,6,10,2020,2020-10-06,TOWR,4,41.6,110,2,1.5,0.8
wetted.width,6,10,2020,2020-10-06,TOWR,5,50.6,65,2.1,1,1
wetted.width,6,10,2020,2020-10-06,TOWR,6,82.3,216,1,0.5,2
wetted.width,6,10,2020,2020-10-06,TOWR,7,88.4,146,0.5,1.4,4.5
wetted.width,6,10,2020,2020-10-06,TOWR,8,105.7,103,2.4,1,0.2
wetted.width,6,10,2020,2020-10-06,TOWR,9,113.6,84,1.5,1,1
wetted.width,6,10,2020,2020-10-06,TOWR,10,126.8,146,2,2,1
wetted.width,3,11,2020,2020-11-03,WS55,1,6.6,134,4,4.5,5.8
wetted.width,3,11,2020,2020-11-03,WS55,2,23.5,122,3,3,1
wetted.width,3,11,2020,2020-11-03,WS55,3,35.5,226,2,1.2,0.2
wetted.width,3,11,2020,2020-11-03,WS55,4,41.9,174,1.5,3,2
wetted.width,3,11,2020,2020-11-03,WS55,5,76.7,116,2.7,3.5,2.6
wetted.width,3,11,2020,2020-11-03,WS55,6,82.4,286,3,2,1.5
wetted.width,3,11,2020,2020-11-03,WS55,7,97.3,339,1,2,2.9
wetted.width,3,11,2020,2020-11-03,WS55,8,109.7,115,1,1.6,4.3
wetted.width,3,11,2020,2020-11-03,WS55,9,128.2,81,5,2,1.6
wetted.width,3,11,2020,2020-11-03,WS55,10,136.2,94,1.2,0.5,0.3
wetted.width,3,11,2020,2020-11-03,TOWR,1,12.6,133,1,4.1,3.8
wetted.width,3,11,2020,2020-11-03,TOWR,2,20.7,100,2,1,3
wetted.width,3,11,2020,2020-11-03,TOWR,3,31.3,79,5,6,4
wetted.width,3,11,2020,2020-11-03,TOWR,4,38.6,100,2,8.5,2.5
wetted.width,3,11,2020,2020-11-03,TOWR,5,59.6,85,0.5,2.6,6.1
wetted.width,3,11,2020,2020-11-03,TOWR,6,77.3,216,2.2,5,3
wetted.width,3,11,2020,2020-11-03,TOWR,7,89.4,127,1,4,8.5
wetted.width,3,11,2020,2020-11-03,TOWR,8,101.7,202,2,3,2
wetted.width,3,11,2020,2020-11-03,TOWR,9,118.6,96,4,2,5
wetted.width,3,11,2020,2020-11-03,TOWR,10,124.8,139,3,4,6
wetted.width,1,12,2020,2020-12-01,WS55,1,7.6,123,4.5,4.6,4
wetted.width,1,12,2020,2020-12-01,WS55,2,14.5,205,2,4.2,3
wetted.width,1,12,2020,2020-12-01,WS55,3,28.5,106,5.5,6.5,3.5
wetted.width,1,12,2020,2020-12-01,WS55,4,44.9,176,3.5,1.8,2.1
wetted.width,1,12,2020,2020-12-01,WS55,5,55.7,78,5.5,3.5,2.5
wetted.width,1,12,2020,2020-12-01,WS55,6,84.4,273,1,0.1,1.8
wetted.width,1,12,2020,2020-12-01,WS55,7,94.3,228,1.5,1,0.8
wetted.width,1,12,2020,2020-12-01,WS55,8,110.7,127,0.5,1.5,2.5
wetted.width,1,12,2020,2020-12-01,WS55,9,132.3,142,1,6,2
wetted.width,1,12,2020,2020-12-01,WS55,10,144.2,73,6,1.5,1.5
wetted.width,1,12,2020,2020-12-01,TOWR,1,5.6,85,9,5,3.6
wetted.width,1,12,2020,2020-12-01,TOWR,2,13.7,81,3.5,1.5,2.5
wetted.width,1,12,2020,2020-12-01,TOWR,3,26.3,66,1.1,3,1.8
wetted.width,1,12,2020,2020-12-01,TOWR,4,44.6,72,3.8,5,2
wetted.width,1,12,2020,2020-12-01,TOWR,5,53.6,153,0.7,2.5,2.5
wetted.width,1,12,2020,2020-12-01,TOWR,6,79.3,126,2,3,3.4
wetted.width,1,12,2020,2020-12-01,TOWR,7,94.4,61,1.5,2.1,3.6
wetted.width,1,12,2020,2020-12-01,TOWR,8,100.7,148,2.5,1.5,0.9
wetted.width,1,12,2020,2020-12-01,TOWR,9,115.6,110,1,2.1,2.5
wetted.width,1,12,2020,2020-12-01,TOWR,10,134.8,158,2.8,1,3
wetted.width,5,1,2021,2021-01-05,WS55,1,7.6,55,14.5,9.2,2.2
wetted.width,5,1,2021,2021-01-05,WS55,2,24.2,159,1.5,5,5.2
wetted.width,5,1,2021,2021-01-05,WS55,3,38.3,111,1,1.8,2.4
wetted.width,5,1,2021,2021-01-05,WS55,4,52.7,105,4.5,6.5,5.5
wetted.width,5,1,2021,2021-01-05,WS55,5,75.8,105,2,1.5,2
wetted.width,5,1,2021,2021-01-05,WS55,6,86.1,292,1.5,0,1.5
wetted.width,5,1,2021,2021-01-05,WS55,7,106,128,2,4,1
wetted.width,5,1,2021,2021-01-05,WS55,8,118.4,71,3,2,0.5
wetted.width,5,1,2021,2021-01-05,WS55,9,123.9,163,1,4,2
wetted.width,5,1,2021,2021-01-05,WS55,10,145.6,280,0,2.5,1
wetted.width,5,1,2021,2021-01-05,TOWR,1,8.5,179,2,1.5,1
wetted.width,5,1,2021,2021-01-05,TOWR,2,24.3,173,4,1,1.5
wetted.width,5,1,2021,2021-01-05,TOWR,3,35.6,110,5.1,3.1,1.5
wetted.width,5,1,2021,2021-01-05,TOWR,4,38.1,127,5,4.5,6
wetted.width,5,1,2021,2021-01-05,TOWR,5,60.2,81,4.5,3.5,3
wetted.width,5,1,2021,2021-01-05,TOWR,6,78,221,4.5,6.8,2
wetted.width,5,1,2021,2021-01-05,TOWR,7,88.5,173,2.2,2,7
wetted.width,5,1,2021,2021-01-05,TOWR,8,106.6,138,2.5,4.8,1.2
wetted.width,5,1,2021,2021-01-05,TOWR,9,118.3,68,4,2,1.5
wetted.width,5,1,2021,2021-01-05,TOWR,10,127,126,3,3.6,3.4
wetted.width,4,2,2021,2021-02-04,WS55,1,2.6,147,3.5,1,1.1
wetted.width,4,2,2021,2021-02-04,WS55,2,18.2,162,0.8,1.5,2.6
wetted.width,4,2,2021,2021-02-04,WS55,3,29.8,117,4,3,1.2
wetted.width,4,2,2021,2021-02-04,WS55,4,44.7,156,4,2.6,2
wetted.width,4,2,2021,2021-02-04,WS55,5,55.8,82,3.8,0.2,1.5
wetted.width,4,2,2021,2021-02-04,WS55,6,81.1,127,2,1.5,1
wetted.width,4,2,2021,2021-02-04,WS55,7,105,160,1.5,3,1
wetted.width,4,2,2021,2021-02-04,WS55,8,107.4,140,0.5,3.5,4.1
wetted.width,4,2,2021,2021-02-04,WS55,9,126.9,150,0.5,4,2.1
wetted.width,4,2,2021,2021-02-04,WS55,10,143.6,115,0.5,1.8,1.5
wetted.width,4,2,2021,2021-02-04,TOWR,1,6.5,77,3,2,2.5
wetted.width,4,2,2021,2021-02-04,TOWR,2,13.3,132,0.5,1,3
wetted.width,4,2,2021,2021-02-04,TOWR,3,29.6,94,0.6,3.4,3.6
wetted.width,4,2,2021,2021-02-04,TOWR,4,40.1,149,1,4.5,7
wetted.width,4,2,2021,2021-02-04,TOWR,5,53.2,90,1.2,0.5,3
wetted.width,4,2,2021,2021-02-04,TOWR,6,81,121,4.3,0.6,0.7
wetted.width,4,2,2021,2021-02-04,TOWR,7,90.5,92,2.4,2.5,2.6
wetted.width,4,2,2021,2021-02-04,TOWR,8,110.6,87,1.7,2.8,3.1
wetted.width,4,2,2021,2021-02-04,TOWR,9,116.3,111,1.4,4,5.4
wetted.width,4,2,2021,2021-02-04,TOWR,10,123,144,1,2,2.4
wetted.width,4,3,2021,2021-03-04,WS55,1,13.6,133,4.1,2,2.1
wetted.width,4,3,2021,2021-03-04,WS55,2,21.2,143,3,4.5,6
wetted.width,4,3,2021,2021-03-04,WS55,3,28.8,142,0.5,3.6,4.2
wetted.width,4,3,2021,2021-03-04,WS55,4,43.7,226,0.6,2.6,1
wetted.width,4,3,2021,2021-03-04,WS55,5,57.8,98,1,0.8,3
wetted.width,4,3,2021,2021-03-04,WS55,6,91.1,242,1.1,0.8,3
wetted.width,4,3,2021,2021-03-04,WS55,7,101,127,3.1,1.1,1
wetted.width,4,3,2021,2021-03-04,WS55,8,110.4,103,1.4,2.4,2
wetted.width,4,3,2021,2021-03-04,WS55,9,120.9,79,2.8,3,3.1
wetted.width,4,3,2021,2021-03-04,WS55,10,136.6,62,0.2,1.1,4.2
wetted.width,4,3,2021,2021-03-04,TOWR,1,3.5,92,1,5,2
wetted.width,4,3,2021,2021-03-04,TOWR,2,23.5,148,2,2,4
wetted.width,4,3,2021,2021-03-04,TOWR,3,34.6,165,3,1.4,2.1
wetted.width,4,3,2021,2021-03-04,TOWR,4,41.1,90,2.6,3.7,2.5
wetted.width,4,3,2021,2021-03-04,TOWR,5,55.2,167,2.2,4,1.2
wetted.width,4,3,2021,2021-03-04,TOWR,6,77,268,1,2.5,1.7
wetted.width,4,3,2021,2021-03-04,TOWR,7,95.5,141,1.1,1.5,0.2
wetted.width,4,3,2021,2021-03-04,TOWR,8,99.6,128,3.5,1.5,1
wetted.width,4,3,2021,2021-03-04,TOWR,9,114.3,147,1,3.5,0.2
wetted.width,4,3,2021,2021-03-04,TOWR,10,124,129,1,2.5,0.1
wetted.width,1,4,2021,2021-04-01,WS55,1,1.6,105,4,6.5,7.5
wetted.width,1,4,2021,2021-04-01,WS55,2,20.2,254,3.6,5.2,4.5
wetted.width,1,4,2021,2021-04-01,WS55,3,24.8,239,5,5.5,4.5
wetted.width,1,4,2021,2021-04-01,WS55,4,48.7,215,4.5,3,5
wetted.width,1,4,2021,2021-04-01,WS55,5,80.8,164,5.5,7,2.3
wetted.width,1,4,2021,2021-04-01,WS55,6,87.1,271,3.5,2.8,3.1
wetted.width,1,4,2021,2021-04-01,WS55,7,94,239,5.8,4.3,3.7
wetted.width,1,4,2021,2021-04-01,WS55,8,114.4,64,6.5,5.5,3
wetted.width,1,4,2021,2021-04-01,WS55,9,128.9,119,5,7.2,2.9
wetted.width,1,4,2021,2021-04-01,WS55,10,140.6,118,5,1.8,0.8
wetted.width,1,4,2021,2021-04-01,TOWR,1,4.5,81,1,8.5,2.1
wetted.width,1,4,2021,2021-04-01,TOWR,2,14.3,106,6,6,5.2
wetted.width,1,4,2021,2021-04-01,TOWR,3,26.6,124,5,2,2
wetted.width,1,4,2021,2021-04-01,TOWR,4,46.1,66,12.5,4,6.1
wetted.width,1,4,2021,2021-04-01,TOWR,5,51.2,167,3.5,11,4
wetted.width,1,4,2021,2021-04-01,TOWR,6,84,327,7.5,4,4.5
wetted.width,1,4,2021,2021-04-01,TOWR,7,98.5,135,6.8,11.5,9
wetted.width,1,4,2021,2021-04-01,TOWR,8,105.6,113,1.5,5.2,6
wetted.width,1,4,2021,2021-04-01,TOWR,9,122.3,115,7.1,8.5,6
wetted.width,1,4,2021,2021-04-01,TOWR,10,129,162,1,1.5,5
wetted.width,12,5,2021,2021-05-12,WS55,1,6.6,76,19,6.4,4
wetted.width,12,5,2021,2021-05-12,WS55,2,17.2,165,0.5,1.5,6
wetted.width,12,5,2021,2021-05-12,WS55,3,27.8,138,8,2.7,1
wetted.width,12,5,2021,2021-05-12,WS55,4,40.7,162,0.2,0.7,3.4
wetted.width,12,5,2021,2021-05-12,WS55,5,78.8,161,4.8,3.5,1.5
wetted.width,12,5,2021,2021-05-12,WS55,6,85.1,277,0.9,2.9,1
wetted.width,12,5,2021,2021-05-12,WS55,7,103,172,2.8,1.7,0.7
wetted.width,12,5,2021,2021-05-12,WS55,8,119.4,85,2.5,1.6,2.1
wetted.width,12,5,2021,2021-05-12,WS55,9,125.9,139,2.5,3,4.3
wetted.width,12,5,2021,2021-05-12,WS55,10,139.6,43,1.5,1,1
wetted.width,12,5,2021,2021-05-12,TOWR,1,7.5,88,1,2,2.5
wetted.width,12,5,2021,2021-05-12,TOWR,2,18.3,93,2.1,2.5,4.2
wetted.width,12,5,2021,2021-05-12,TOWR,3,28.6,83,4.5,2.5,0.5
wetted.width,12,5,2021,2021-05-12,TOWR,4,39.1,130,9,5,0.5
wetted.width,12,5,2021,2021-05-12,TOWR,5,58.2,90,0.8,1.8,2.1
wetted.width,12,5,2021,2021-05-12,TOWR,6,85,262,2,1,3
wetted.width,12,5,2021,2021-05-12,TOWR,7,89.5,137,1.5,2,0.2
wetted.width,12,5,2021,2021-05-12,TOWR,8,107.6,91,2.1,8.1,2.1
wetted.width,12,5,2021,2021-05-12,TOWR,9,120.3,,,,
wetted.width,12,5,2021,2021-05-12,TOWR,10,126,131,1.5,2.5,4
wetted.width,18,6,2021,2021-06-18,WS55,1,4.6,131,1.1,1.5,2.1
wetted.width,18,6,2021,2021-06-18,WS55,2,14.2,112,2.8,0.5,0.5
wetted.width,18,6,2021,2021-06-18,WS55,3,37.8,76,0.5,0.8,0.4
wetted.width,18,6,2021,2021-06-18,WS55,4,42.7,174,0.5,0.3,1.4
wetted.width,18,6,2021,2021-06-18,WS55,5,76.8,124,2,2.1,0.8
wetted.width,18,6,2021,2021-06-18,WS55,6,82.1,214,1.9,1,0.5
wetted.width,18,6,2021,2021-06-18,WS55,7,100,241,1,1.8,2.1
wetted.width,18,6,2021,2021-06-18,WS55,8,113.4,83,0.8,0.5,0.5
wetted.width,18,6,2021,2021-06-18,WS55,9,132.9,22,4,6.2,3.1
wetted.width,18,6,2021,2021-06-18,WS55,10,134.6,46,1,0.2,0.8
wetted.width,18,6,2021,2021-06-18,TOWR,1,2.5,93,1.5,2.5,0.8
wetted.width,18,6,2021,2021-06-18,TOWR,2,15.3,65,1.5,2.8,0.5
wetted.width,18,6,2021,2021-06-18,TOWR,3,32.6,142,1,1.5,2.5
wetted.width,18,6,2021,2021-06-18,TOWR,4,48.1,91,1.5,1,0.6
wetted.width,18,6,2021,2021-06-18,TOWR,5,56.2,139,2.5,2.5,2.1
wetted.width,18,6,2021,2021-06-18,TOWR,6,86,181,1,0.1,3.8
wetted.width,18,6,2021,2021-06-18,TOWR,7,87.5,165,0.5,2,1.5
wetted.width,18,6,2021,2021-06-18,TOWR,8,104.6,141,1,1.5,4
wetted.width,18,6,2021,2021-06-18,TOWR,9,119.3,78,2,1.5,3.1
wetted.width,18,6,2021,2021-06-18,TOWR,10,132,132,1.5,0.5,1.5
wetted.width,13,7,2021,2021-07-13,WS55,1,10.6,157,1.6,2.2,5.1
wetted.width,13,7,2021,2021-07-13,WS55,2,26.2,108,2.1,0.1,0.2
wetted.width,13,7,2021,2021-07-13,WS55,3,33.8,153,0.8,0.7,1
wetted.width,13,7,2021,2021-07-13,WS55,4,45.7,178,0.6,0.8,1.1
wetted.width,13,7,2021,2021-07-13,WS55,5,58.8,103,1.1,1.2,1
wetted.width,13,7,2021,2021-07-13,WS55,6,88.1,164,0.1,0.1,0.2
wetted.width,13,7,2021,2021-07-13,WS55,7,95,276,0.5,0.1,0.2
wetted.width,13,7,2021,2021-07-13,WS55,8,108.4,144,0.8,1.1,1.2
wetted.width,13,7,2021,2021-07-13,WS55,9,122.9,0,0,0,0
wetted.width,13,7,2021,2021-07-13,WS55,10,135.6,57,3,3.1,2.5
wetted.width,13,7,2021,2021-07-13,TOWR,1,11.5,23,1.1,0.7,3.5
wetted.width,13,7,2021,2021-07-13,TOWR,2,17.3,97,2.5,0.4,0.3
wetted.width,13,7,2021,2021-07-13,TOWR,3,27.6,101,2.5,0.5,0.5
wetted.width,13,7,2021,2021-07-13,TOWR,4,42.1,50,1.1,0.5,0.2
wetted.width,13,7,2021,2021-07-13,TOWR,5,54.2,162,1.4,1.5,0.8
wetted.width,13,7,2021,2021-07-13,TOWR,6,76,221,1.5,1,1.5
wetted.width,13,7,2021,2021-07-13,TOWR,7,91.5,129,2,1,3.5
wetted.width,13,7,2021,2021-07-13,TOWR,8,108.6,61,0.8,1.1,2.1
wetted.width,13,7,2021,2021-07-13,TOWR,9,121.3,125,0.5,0.1,0.8
wetted.width,13,7,2021,2021-07-13,TOWR,10,133,145,3,2,1
wetted.width,9,8,2021,2021-08-09,WS55,1,12.6,156,0.5,14,0.7
wetted.width,9,8,2021,2021-08-09,WS55,2,22.2,117,0.4,0.8,0.9
wetted.width,9,8,2021,2021-08-09,WS55,3,31.8,69,1.6,0.6,1.7
wetted.width,9,8,2021,2021-08-09,WS55,4,47.7,107,1.7,2.1,0.2
wetted.width,9,8,2021,2021-08-09,WS55,5,54.8,117,0.4,1.6,0.7
wetted.width,9,8,2021,2021-08-09,WS55,6,89.1,166,0.7,0.1,0.1
wetted.width,9,8,2021,2021-08-09,WS55,7,98,248,0.5,0.4,0.1
wetted.width,9,8,2021,2021-08-09,WS55,8,109.4,127,0.6,0.5,0.1
wetted.width,9,8,2021,2021-08-09,WS55,9,124.9,0,0,0,0
wetted.width,9,8,2021,2021-08-09,WS55,10,133.6,25,0.7,1.1,0.1
wetted.width,9,8,2021,2021-08-09,TOWR,1,5.5,57,0.1,0.4,0.7
wetted.width,9,8,2021,2021-08-09,TOWR,2,20.3,104,1.1,1,0.4
wetted.width,9,8,2021,2021-08-09,TOWR,3,25.6,77,0.4,1,0.7
wetted.width,9,8,2021,2021-08-09,TOWR,4,43.1,164,1.1,0.1,0.4
wetted.width,9,8,2021,2021-08-09,TOWR,5,49.2,75,0.2,0.5,0.3
wetted.width,9,8,2021,2021-08-09,TOWR,6,75,213,0.9,1,0.5
wetted.width,9,8,2021,2021-08-09,TOWR,7,94.5,73,1.5,1.8,0.2
wetted.width,9,8,2021,2021-08-09,TOWR,8,103.6,111,2.8,0.2,0.2
wetted.width,9,8,2021,2021-08-09,TOWR,9,113.3,68,0.4,1,2.8
wetted.width,9,8,2021,2021-08-09,TOWR,10,134,104,0.6,1.4,0.8
wetted.width,7,9,2021,2021-09-07,WS55,1,11.6,64,1,1,1.5
wetted.width,7,9,2021,2021-09-07,WS55,2,25.2,61,1,1,1
wetted.width,7,9,2021,2021-09-07,WS55,3,39.8,160,1.1,1,5.5
wetted.width,7,9,2021,2021-09-07,WS55,4,46.7,192,3,1.5,0.6
wetted.width,7,9,2021,2021-09-07,WS55,5,59.8,63,3,1,1
wetted.width,7,9,2021,2021-09-07,WS55,6,83.1,279,1,0.8,0.3
wetted.width,7,9,2021,2021-09-07,WS55,7,97,357,1.8,0.5,1
wetted.width,7,9,2021,2021-09-07,WS55,8,111.4,9,1,0.5,0.2
wetted.width,7,9,2021,2021-09-07,WS55,9,127.9,148,1,1,1.5
wetted.width,7,9,2021,2021-09-07,WS55,10,144.6,55,0.5,0.5,1
wetted.width,7,9,2021,2021-09-07,TOWR,1,10.5,28,1.5,0.6,0.2
wetted.width,7,9,2021,2021-09-07,TOWR,2,21.3,115,0.5,1.5,0.1
wetted.width,7,9,2021,2021-09-07,TOWR,3,30.6,37,4,2.5,0.5
wetted.width,7,9,2021,2021-09-07,TOWR,4,44.1,96,1,1,1.6
wetted.width,7,9,2021,2021-09-07,TOWR,5,57.2,78,2,3,1.8
wetted.width,7,9,2021,2021-09-07,TOWR,6,79,126,1,3.5,1
wetted.width,7,9,2021,2021-09-07,TOWR,7,93.5,90,0.5,1.5,1.5
wetted.width,7,9,2021,2021-09-07,TOWR,8,109.6,67,2.5,1.5,3.5
wetted.width,7,9,2021,2021-09-07,TOWR,9,115.3,88,3,3.2,1
wetted.width,7,9,2021,2021-09-07,TOWR,10,131,127,1,1.5,2.5
