"","concentration","activation.energy","activation.energy.se","rsq","p.value","intercept","intercept.se"
"1",11,-0.0288126700240647,0.290310319010985,0.000984043936805317,0.92290288264697,-0.824127498738742,0.247638381350285
"2",13,0.0472926316317263,0.353421750565318,0.00178740702151364,0.896204689706954,-0.245936058153308,0.308490049928124
"3",19,0.194917832295326,0.0847652829241918,0.345879526833275,0.0442919273552181,0.651264154356314,0.0740312245202499
"4",32,0.141166995982929,0.0855029794284414,0.214198607622189,0.129745760507799,1.28079061311137,0.073336342227885
"5",68,0.309610022713376,0.0831519612698529,0.580956792288733,0.00395291799525358,1.82843366238542,0.0718932497898575
"6",111,0.522002906732329,0.114891664653814,0.673659163274101,0.00106903666951915,2.14914555611566,0.0991142160053871
"7",164,0.420554600785988,0.127059845645661,0.522795970889747,0.00788073530510169,2.33146155329983,0.107905265155771
"8",217,0.326062675655645,0.171975084651244,0.285417679037884,0.0904664847884747,2.4006294547011,0.140577338146781
